'Id', 'UserId', 'Name', 'Date', 'Class', 'TagBased'
'83350', '2945', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83351', '1137', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83352', '5811', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83353', '4080', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83354', '2899', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83355', '4965', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83356', '4332', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83357', '369', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83358', '463', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83360', '1740', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83361', '3501', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83362', '1005', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83363', '1462', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83364', '446', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83365', '1531', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83366', '1796', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83367', '2994', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83369', '3683', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83370', '192', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83372', '6154', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83373', '2990', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83374', '826', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83375', '1354', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83376', '1982', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83377', '1776', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83379', '5109', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
