id,postid,votetypeid,creationdate
967,398,2,2008-08-02T00:00:00.000
968,401,2,2008-08-02T00:00:00.000
969,374,2,2008-08-02T00:00:00.000
970,10,2,2008-08-02T00:00:00.000
971,183,2,2008-08-02T00:00:00.000
972,325,2,2008-08-02T00:00:00.000
973,216,2,2008-08-02T00:00:00.000
974,431,2,2008-08-02T00:00:00.000
975,432,2,2008-08-02T00:00:00.000
976,432,1,2008-08-02T00:00:00.000
977,431,1,2008-08-02T00:00:00.000
978,424,2,2008-08-02T00:00:00.000
981,402,3,2008-08-02T00:00:00.000
982,13,2,2008-08-02T00:00:00.000
983,216,2,2008-08-02T00:00:00.000
984,402,2,2008-08-02T00:00:00.000
987,420,2,2008-08-02T00:00:00.000
988,413,2,2008-08-02T00:00:00.000
989,416,2,2008-08-02T00:00:00.000
990,428,2,2008-08-02T00:00:00.000
991,440,2,2008-08-02T00:00:00.000
992,409,2,2008-08-02T00:00:00.000
